member_id,first_name,last_name,email,phone,date_of_birth,gender,join_date,membership_type,membership_status,fitness_goal,height_cm,weight_kg,emergency_contact
MEM000001,Mary,Moore,member1@fitnesshub.com,+1-555-350-4657,2000-12-21,Male,2023-08-02,Basic,Inactive,Weight Loss,179.5,52.2,+1-555-195-4582
MEM000002,Joshua,Johnson,member2@fitnesshub.com,+1-555-674-4257,1975-12-28,Other,2021-04-21,Senior,Active,Muscle Gain,172.5,69.5,+1-555-990-1106
MEM000003,David,Ramirez,member3@fitnesshub.com,+1-555-448-5552,1957-01-01,Male,2024-04-03,Premium,Active,Weight Loss,154.6,56.8,+1-555-967-6635
MEM000004,John,Robinson,member4@fitnesshub.com,+1-555-649-3045,1991-12-24,Female,2023-05-21,Basic,Inactive,General Fitness,191.5,93.3,+1-555-982-6925
MEM000005,Melissa,Jones,member5@fitnesshub.com,+1-555-146-4733,1995-12-23,Female,2023-03-28,Basic,Active,Weight Loss,169.0,81.7,+1-555-954-6977
MEM000006,Daniel,Wilson,member6@fitnesshub.com,+1-555-786-5374,1984-12-25,Other,2020-11-29,Basic,Inactive,Muscle Gain,176.7,67.1,+1-555-573-7216
MEM000007,George,Scott,member7@fitnesshub.com,+1-555-324-6313,1967-12-30,Male,2021-07-06,Premium,Active,General Fitness,170.1,54.6,+1-555-680-6155
MEM000008,Ashley,Sanchez,member8@fitnesshub.com,+1-555-758-8517,1966-12-30,Male,2021-03-11,Elite,Active,Muscle Gain,187.2,87.7,+1-555-864-8019
MEM000009,Lisa,Anderson,member9@fitnesshub.com,+1-555-241-9348,1982-12-26,Female,2023-04-10,Basic,Active,Weight Loss,157.6,61.2,+1-555-796-7916
MEM000010,Matthew,Harris,member10@fitnesshub.com,+1-555-710-8668,2003-12-21,Other,2023-05-06,Elite,Inactive,Weight Loss,184.0,58.0,+1-555-649-5371
MEM000011,Nancy,Davis,member11@fitnesshub.com,+1-555-400-8123,1966-12-30,Male,2024-04-23,Student,Active,General Fitness,198.6,103.3,+1-555-619-2743
MEM000012,Karen,Allen,member12@fitnesshub.com,+1-555-723-4258,1967-12-30,Male,2024-11-17,Elite,Active,Health Maintenance,197.7,114.6,+1-555-100-6310
MEM000013,Linda,White,member13@fitnesshub.com,+1-555-999-6038,2006-12-20,Male,2022-09-27,Basic,Active,Health Maintenance,197.3,56.0,+1-555-597-2133
MEM000014,William,Rodriguez,member14@fitnesshub.com,+1-555-775-8787,1973-12-28,Other,2024-04-06,Premium,Active,Health Maintenance,193.6,79.6,+1-555-316-9835
MEM000015,George,Gonzalez,member15@fitnesshub.com,+1-555-830-6107,1961-12-31,Female,2024-03-26,Elite,Inactive,Health Maintenance,172.6,67.4,+1-555-165-6539
MEM000016,Emily,Anderson,member16@fitnesshub.com,+1-555-702-4608,1970-12-29,Male,2020-02-13,Basic,Active,Muscle Gain,153.4,52.2,+1-555-438-2160
MEM000017,Sarah,Young,member17@fitnesshub.com,+1-555-319-9834,1992-12-23,Male,2022-11-18,Senior,Inactive,Athletic Performance,162.1,83.1,+1-555-516-4119
MEM000018,Brian,Ramirez,member18@fitnesshub.com,+1-555-462-7939,2001-12-21,Female,2020-07-12,Student,Active,Weight Loss,153.0,101.0,+1-555-919-2790
MEM000019,Richard,Wright,member19@fitnesshub.com,+1-555-559-3296,1995-12-23,Female,2021-05-24,Premium,Active,Athletic Performance,162.5,114.6,+1-555-553-2604
MEM000020,Paul,Smith,member20@fitnesshub.com,+1-555-195-4872,1966-12-30,Male,2020-04-13,Student,Inactive,Athletic Performance,160.7,78.1,+1-555-160-3697
MEM000021,Matthew,Taylor,member21@fitnesshub.com,+1-555-902-8454,2007-12-20,Female,2022-02-15,Student,Inactive,Athletic Performance,157.7,70.8,+1-555-159-9883
MEM000022,Christopher,Brown,member22@fitnesshub.com,+1-555-151-8811,1960-12-31,Other,2020-05-04,Senior,Active,Weight Loss,198.0,55.6,+1-555-290-2122
MEM000023,Amanda,Thomas,member23@fitnesshub.com,+1-555-513-2964,2003-12-21,Other,2023-05-03,Premium,Inactive,Health Maintenance,152.0,55.7,+1-555-773-9565
MEM000024,Susan,Lee,member24@fitnesshub.com,+1-555-344-5351,1991-12-24,Female,2021-10-09,Premium,Active,Athletic Performance,165.8,102.6,+1-555-174-1152
MEM000025,Andrew,Miller,member25@fitnesshub.com,+1-555-175-9808,1968-12-29,Male,2022-07-27,Senior,Active,Muscle Gain,196.7,111.7,+1-555-350-7054
MEM000026,Mark,Wright,member26@fitnesshub.com,+1-555-820-5956,1997-12-22,Other,2021-08-06,Senior,Active,Health Maintenance,165.0,96.4,+1-555-999-3200
MEM000027,Michael,Scott,member27@fitnesshub.com,+1-555-259-5462,2000-12-21,Female,2021-06-25,Senior,Active,General Fitness,160.2,94.4,+1-555-370-9280
MEM000028,Patricia,Garcia,member28@fitnesshub.com,+1-555-749-7939,1991-12-24,Female,2022-09-27,Basic,Active,General Fitness,188.6,94.6,+1-555-368-3647
MEM000029,Emily,Ramirez,member29@fitnesshub.com,+1-555-674-1158,1979-12-27,Male,2024-02-27,Basic,Active,Health Maintenance,151.8,75.8,+1-555-665-3426
